brand,name,ID
西北,35,1
VT CICA,35,2
日本味王,35,3
THREE,35,4
PROFUSION,35,1
安安,35,2
培恩,35,3
福樂一番鮮,35,4
vivo,35,1
廣鼎 INTOPIC,35,2
理想 PERFECT,35,3
MINON AminoMoist 蜜濃,35,4
msi 微星,35,1
聰明狗糧 IQ DOG,35,2
冷泡茶,35,3
Flormar,35,4
慧心 SmartHeart,34,1
真爽,34,2
CeraVe 適樂膚,34,3
KANGAROOS,34,4
芮可 RICO,34,1
CLARINS 克蘭詩,34,2
COLOR CLUB,34,3
日立 ITACHI,34,4
克補,34,1
四季,34,2
嘉士伯,34,3
CARMEX 小蜜媞,34,4
巴黎萊雅 L'OREAL PARIS,34,1
PRI,33,2
友情牌,33,3
WATSONS,33,4
瑪恩吉 Monge,33,1
牛乳石鹼,33,2
賈以食日,33,3
美粒果,33,4
豐力富 Fernleaf,33,1
POND'S 旁氏,33,2
濃韻,33,3
享食尚,33,4
Sour3,32,1
富維克 Volvic,32,2
AQUA LABEL 水之印,32,3
廣吉,32,4
木村,32,1
ETUDE奧斯卡,32,2
貝利達,32,3
Handme,32,4
H2O,31,1
ARDELL,31,2
iROBOT,31,3
比菲多,31,4
麵大師,31,1
HEINZ亨式,31,2
樂邁,31,3
Play Station,31,4
美亞 MEYER,30,1
AOC,30,2
Loshi,30,3
Jordan,30,4
台農,30,1
卡氛 KAFEN,30,2
愛爾康,30,3
Mdmmd 明洞國際,30,4
農會,30,1
玩美日記,30,2
林鳳營特濃優格,30,3
TTM 提提研,30,4
渴望 Orijen,30,1
