index,score,attention_head
42068,0.24551787972450256,0
47310,0.24551922082901,0
57709,0.24553172290325165,0
57875,0.2455427050590515,0
67544,0.24555453658103943,0
59904,0.24555465579032898,0
71830,0.2455606460571289,0
70595,0.2455664873123169,0
7987,0.2455773800611496,0
62988,0.24558112025260925,0
96951,0.24559184908866882,0
20352,0.24561218917369843,0
89741,0.24561452865600586,0
37134,0.24561762809753418,0
33464,0.24562397599220276,0
38534,0.2456250637769699,0
62039,0.245630145072937,0
60364,0.24563348293304443,0
61881,0.24563592672348022,0
87608,0.24566376209259033,0
65309,0.24569162726402283,0
68093,0.2456967681646347,0
640,0.2456974983215332,0
25567,0.24570810794830322,0
38186,0.24572286009788513,0
7324,0.24573414027690887,1
95045,0.2457379549741745,0
13666,0.2457445114850998,0
94784,0.24575138092041016,0
25478,0.24580863118171692,0
47532,0.24582523107528687,0
72712,0.24582605063915253,0
73753,0.2458316534757614,0
91999,0.2458319067955017,0
12913,0.2458351105451584,0
93657,0.2458380162715912,1
89869,0.24585148692131042,0
40598,0.24585458636283875,0
30762,0.24586021900177002,0
21290,0.24586796760559082,0
47673,0.24586951732635498,0
49765,0.24587640166282654,0
32522,0.2458774745464325,0
19025,0.2459002137184143,0
79102,0.24590043723583221,0
11015,0.24590587615966797,0
15345,0.24593091011047363,0
43817,0.24593093991279602,0
44998,0.24594029784202576,0
31133,0.24594168365001678,0
50232,0.24594388902187347,0
4184,0.24594604969024658,0
27887,0.24594877660274506,0
61173,0.24596500396728516,0
34063,0.2459714412689209,0
2424,0.2459738701581955,0
31876,0.2459791600704193,0
39955,0.24598762392997742,0
8603,0.24599993228912354,0
61839,0.24600115418434143,0
56534,0.24601952731609344,0
51483,0.24602767825126648,0
73342,0.24603192508220673,0
5162,0.24605093896389008,0
45565,0.2460586130619049,0
6331,0.24605946242809296,0
75269,0.24605946242809296,0
32152,0.2460804432630539,0
53724,0.2460956573486328,0
95291,0.24609854817390442,0
94777,0.24610695242881775,0
70379,0.24612830579280853,0
67421,0.2461312711238861,0
81504,0.24614626169204712,0
13959,0.24615101516246796,0
59362,0.24616456031799316,0
89494,0.2461755871772766,0
36656,0.24621973931789398,0
44215,0.24622073769569397,0
33662,0.24622711539268494,0
56668,0.24623462557792664,0
93874,0.24623894691467285,0
55190,0.2462426722049713,0
47678,0.24625925719738007,0
2157,0.24626263976097107,0
74268,0.24631258845329285,0
44121,0.246347114443779,0
27937,0.24634799361228943,1
69338,0.2463587522506714,0
92215,0.2463587522506714,0
52665,0.246372789144516,0
77352,0.24637579917907715,0
62762,0.24638400971889496,0
73903,0.24638967216014862,0
20658,0.2463994026184082,0
55,0.2464022934436798,0
8278,0.24641650915145874,0
42461,0.2464178502559662,0
19234,0.24644820392131805,0
39943,0.24644820392131805,0
7013,0.2464522123336792,0
63263,0.24645626544952393,0
83587,0.24646258354187012,0
20131,0.24647562205791473,0
4435,0.24647635221481323,0
7475,0.24647679924964905,0
19821,0.24649731814861298,0
40732,0.24649953842163086,0
32426,0.24652183055877686,0
86342,0.24652349948883057,0
41598,0.24652378261089325,0
42503,0.24652469158172607,0
64678,0.2465299367904663,0
6752,0.246541827917099,0
44862,0.24654196202754974,0
13327,0.24654214084148407,0
63231,0.2465459555387497,0
64521,0.2465459555387497,0
52999,0.24656245112419128,0
53529,0.2465701401233673,0
94295,0.2465815544128418,0
37810,0.24658215045928955,0
63427,0.24658231437206268,0
37517,0.24658259749412537,0
69184,0.24660877883434296,0
62514,0.246611088514328,0
28339,0.2466135323047638,0
9877,0.24662616848945618,0
37813,0.2466319054365158,0
77401,0.24663792550563812,0
69548,0.24664130806922913,0
5880,0.2466711401939392,0
37800,0.2466745227575302,0
75435,0.24668586254119873,0
29008,0.24669627845287323,0
60584,0.24670279026031494,0
71412,0.24670621752738953,0
42088,0.2467138171195984,0
91946,0.24671787023544312,0
69353,0.24672234058380127,0
9516,0.24672770500183105,0
2815,0.24673137068748474,0
15213,0.2467375248670578,0
82485,0.24674391746520996,0
18911,0.2467670887708664,0
2246,0.2467776983976364,0
87147,0.24678413569927216,0
33327,0.24680575728416443,0
42086,0.24681232869625092,0
80171,0.24681232869625092,0
30197,0.24682746827602386,0
88476,0.24683527648448944,0
25120,0.24683932960033417,0
54334,0.24685347080230713,0
31148,0.24685697257518768,0
38852,0.24686352908611298,0
92509,0.24686408042907715,0
577,0.24687355756759644,0
27601,0.2468884438276291,0
69749,0.2468894124031067,1
92177,0.2468966692686081,0
54668,0.2469085156917572,0
30676,0.24690967798233032,0
69089,0.2469165325164795,0
58713,0.24692261219024658,0
29443,0.24692301452159882,0
54680,0.2469339668750763,0
74715,0.24694864451885223,0
6414,0.24695232510566711,0
80185,0.24696342647075653,0
37394,0.24696438014507294,0
77978,0.24696946144104004,0
21377,0.24697521328926086,0
49216,0.24697533249855042,0
4815,0.24698182940483093,0
17945,0.2470143437385559,0
75732,0.24701520800590515,0
25863,0.24703949689865112,0
57695,0.24704492092132568,0
67079,0.24705223739147186,0
21469,0.2470538318157196,0
79510,0.24705490469932556,0
79006,0.24706503748893738,0
96702,0.24706554412841797,0
41522,0.24707208573818207,0
79009,0.24710887670516968,0
45716,0.24711446464061737,0
96512,0.2471177577972412,0
81259,0.24711811542510986,0
72740,0.24712133407592773,0
89229,0.2471219301223755,0
22946,0.24714669585227966,0
31511,0.247148796916008,0
32937,0.2471523880958557,0
41493,0.24715326726436615,0
65279,0.24716214835643768,0
79672,0.24716949462890625,0
95980,0.24719242751598358,0
